,name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
68,Hungary,HUN,HUF,459.0,272.0,5269.607,1509676.569,2002-04-01
69,Indonesia,IDN,IDR,16000.0,9430.0,834.139,8558977.964,2002-04-01
70,Israel,ISR,ILS,12.0,4.79,20918.337,87975.203,2002-04-01
71,Japan,JPN,JPY,262.0,130.0,34410.68,4181893.67,2002-04-01
72,South Korea,KOR,KRW,3100.0,1304.0,11563.04,14925456.032,2002-04-01
73,Mexico,MEX,MXN,21.9,9.28,7558.975,70619.411,2002-04-01
74,Malaysia,MYS,MYR,5.04,3.8,4189.053,15918.403,2002-04-01
75,Norway,NOR,NOK,35.0,8.56,38626.418,347315.393,2002-04-01
76,New Zealand,NZL,NZD,3.6,2.24,13669.131,32495.433,2002-04-01
77,Peru,PER,PEN,8.5,3.43,1935.546,6787.961,2002-04-01
78,Philippines,PHL,PHP,65.0,51.0,1003.957,51194.492,2002-04-01
79,Poland,POL,PLN,5.9,4.04,4987.859,20418.796,2002-04-01
80,Russia,RUS,RUB,39.0,31.2,2255.253,65792.007,2002-04-01
81,Singapore,SGP,SGD,3.3,1.82,21699.748,38879.926,2002-04-01
82,Sweden,SWE,SEK,26.0,10.4,27207.49,281029.861,2002-04-01
83,Thailand,THA,THB,55.0,43.3,1890.25,84121.327,2002-04-01
84,Turkey,TUR,TRY,4000000.0,1324500.0,3082.899,3769.12,2002-04-01
85,Taiwan,TWN,TWD,70.0,34.8,13357.195,451647.956,2002-04-01
86,United States,USA,USD,2.35,1.0,37101.453,37101.453,2002-04-01
87,Venezuela,VEN,VEF,2500.0,857.0,4963.916,,2002-04-01
88,South Africa,ZAF,ZAR,9.7,10.9,2964.029,25499.541,2002-04-01
89,Argentina,ARG,ARS,4.1,2.88,2997.621,9315.73,2003-04-01
90,Australia,AUS,AUD,3.0,1.61,21692.334,39884.438,2003-04-01
91,Brazil,BRA,BRL,4.55,3.07,2856.026,8340.596,2003-04-01
92,Canada,CAN,CAD,3.2,1.45,24279.186,38126.646,2003-04-01
93,Switzerland,CHE,CHF,6.3,1.37,42654.238,66481.216,2003-04-01
94,Chile,CHL,CLP,1400.0,716.0,4479.771,3086278.664,2003-04-01
95,China,CHN,CNY,9.9,8.28,1141.14,9445.22,2003-04-01
96,Czech Republic,CZE,CZK,56.57,28.9,8056.318,263791.196,2003-04-01
97,Denmark,DNK,DKK,27.75,6.78,33275.556,262701.007,2003-04-01
98,Egypt,EGY,EGP,8.0,5.92,1355.278,5982.044,2003-04-01
99,Euro area,EUZ,EUR,2.71,0.909090909,23232.2850905658,24586.8913931337,2003-04-01
100,Britain,GBR,GBP,1.99,0.632911392,30129.415,20070.663,2003-04-01
101,Hong Kong,HKG,HKD,11.5,7.8,24731.081,192890.065,2003-04-01
102,Hungary,HUN,HUF,490.0,224.0,6644.61,1713401.376,2003-04-01
103,Indonesia,IDN,IDR,16100.0,8740.0,1002.907,9338261.498,2003-04-01
104,Japan,JPN,JPY,262.0,120.0,32832.296,4116776.513,2003-04-01
